Area,Category,Item,Description,Date,Orders,Type of Order
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,27-02-2023,136,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,28-01-2022,141,Dining
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,14-12-2021,153,Takeaway
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",03-03-2023,23,Takeaway
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",01-07-2023,119,Takeaway
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,12-11-2021,166,Takeaway
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,09-05-2022,40,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",05-07-2023,159,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,05-05-2022,6,Dining
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,06-09-2023,145,Online
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,05-01-2022,200,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",17-05-2022,153,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,24-09-2022,7,Online
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,01-03-2022,30,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",06-11-2021,103,Takeaway
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",20-11-2022,187,Takeaway
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,06-03-2023,197,Dining
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,04-06-2022,141,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,04-04-2022,64,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",10-12-2021,173,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,01-01-2023,193,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,04-04-2023,48,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,30-08-2023,164,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,22-07-2022,71,Takeaway
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,02-10-2023,2,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,01-04-2022,121,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,20-10-2023,155,Online
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,02-02-2022,21,Takeaway
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",03-04-2023,173,Dining
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",01-12-2022,179,Online
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,23-05-2022,189,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,04-01-2023,112,Dining
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",01-07-2023,76,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,22-07-2023,94,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",07-08-2022,22,Online
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",06-04-2022,12,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",26-02-2022,119,Online
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",21-10-2022,117,Online
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,02-01-2022,9,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,16-10-2022,112,Dining
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,11-04-2022,35,Dining
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",08-08-2022,31,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,04-07-2022,82,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",24-09-2022,109,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",18-08-2022,33,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",06-12-2021,61,Online
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,08-04-2023,168,Online
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,21-08-2023,29,Takeaway
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",17-02-2023,181,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,12-03-2022,98,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",05-01-2023,187,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,07-09-2023,7,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,21-11-2021,104,Dining
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,16-08-2022,64,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",03-02-2022,148,Takeaway
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,25-09-2023,124,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,23-12-2022,165,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,09-07-2022,196,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,17-04-2023,4,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,21-02-2023,145,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",09-06-2022,148,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,27-10-2022,32,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,11-03-2023,122,Takeaway
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,07-02-2023,132,Online
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",13-02-2023,66,Dining
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",07-01-2023,65,Takeaway
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",24-06-2022,86,Takeaway
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",21-08-2023,130,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",08-04-2023,108,Online
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",13-09-2023,6,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,08-02-2022,146,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,27-12-2022,59,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,10-08-2022,90,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,03-02-2023,36,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,26-05-2022,4,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,08-10-2022,28,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,17-03-2023,66,Dining
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",20-04-2022,116,Online
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",21-04-2023,42,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",08-10-2022,172,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,26-02-2023,178,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,18-08-2023,36,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,12-04-2023,150,Dining
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,24-07-2022,167,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,28-08-2023,18,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,16-01-2022,130,Takeaway
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",22-06-2022,56,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,07-07-2022,164,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",15-11-2022,36,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",21-12-2022,189,Takeaway
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",23-12-2022,101,Takeaway
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,16-05-2023,199,Takeaway
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",01-11-2023,109,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,04-01-2022,100,Takeaway
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,18-09-2023,171,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,04-09-2022,135,Dining
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",22-05-2022,156,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",27-10-2022,48,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,27-01-2023,31,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,23-02-2023,61,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,02-08-2022,75,Dining
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",25-05-2023,179,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,04-05-2022,141,Online
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,01-05-2023,58,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,27-10-2022,22,Takeaway
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,21-06-2023,156,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",04-01-2023,79,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",22-06-2023,81,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,28-04-2023,113,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,09-05-2023,46,Takeaway
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,21-08-2023,137,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,12-04-2023,114,Dining
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",19-02-2023,76,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,28-10-2023,197,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",05-05-2023,71,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,17-06-2022,43,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,22-08-2022,50,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,16-10-2023,184,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,31-07-2023,102,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",10-07-2023,43,Online
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,04-10-2022,41,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,17-04-2023,52,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,27-04-2023,57,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",11-06-2022,40,Takeaway
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",18-08-2022,95,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",22-04-2023,105,Takeaway
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",23-06-2022,155,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,15-05-2023,63,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,08-03-2023,83,Dining
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",11-04-2022,106,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,07-10-2022,50,Dining
